# naive_pinyin dict v1
# sources: rime-ice(8105/base/ext/others)
a	啊:853,阿:753,吖:660,锕:274,腌:38
wa er	娃儿:470,瓦尔:424
wa er de	瓦尔德:378
wa er shao	挖耳勺:340
wa er te	瓦尔特:386
wa fang	瓦房:428,挖方:272
wa fang dian	瓦房店:322
wa fang dian shi	瓦房店市:359
wa fen	挖坟:418
wa ga	哇嘎:486
wa gai	瓦盖:418
wa ge	挖个:514
wa ge na	瓦格纳:406
wa gong	瓦工:469
wa gou	挖沟:292
wa guan	瓦罐:481
wa guo	挖过:474
wa ha	哇哈:635
wa ha ha	哇哈哈:635,娃哈哈:406
wa ha ha ha	哇哈哈哈:488
wa hao	挖好:418
wa hui	瓦灰:549
wa ji	袜机:448
wa jiang	瓦匠:301
wa jiao	挖角:260,蛙叫:244
wa jie	瓦解:542
wa jing	挖井:284
wa jue	挖掘:620
wa jue chu	挖掘出:332
wa jue ji	挖掘机:459
wa jue ji xie	挖掘机械:555
wa jue qian li	挖掘潜力:306
wa ka	哇咔:549
wa ka wa ka	哇咔哇咔:549
wa kai	挖开:312
wa kao	哇靠:418
wa keng	挖坑:436
wa kong	挖孔:456,挖空:302
wa kong xin si	挖空心思:426
wa kou	袜口:371
wa ku	挖苦:464
wa kuang	挖矿:322
wa la	哇啦:378
wa lai	瓦莱:313,挖来:298
wa lan	瓦蓝:452
wa le	挖了:578
wa lei	蛙类:460,袜类:429
wa leng	瓦楞:368
wa leng zhi	瓦楞纸:304
wa leng zhi ban	瓦楞纸板:311
wa leng zhi xiang	瓦楞纸箱:311
wa li	瓦砾:436
wa liang	瓦亮:418
wa lun	瓦伦:544
wa lun xi ya	瓦伦西亚:412
wa mei	挖煤:298
wa mian	瓦面:304
wa ming	蛙鸣:338
wa ni	挖泥:309
wa nu a tu	瓦努阿图:397
wa nu a tu gong he guo	瓦努阿图共和国:334
wa o	哇哦:549
wa pen	瓦盆:408
wa pian	瓦片:450
wa qi	挖起:290
wa qian	挖潜:407
wa qu	挖去:493,挖取:284
wa quan	瓦全:270
wa ren	挖人:516,蛙人:370
wa rou	蛙肉:246
wa sai	哇噻:314
wa sha	挖沙:308
wa shao	挖勺:484
wa shao er	挖勺儿:484
wa she	瓦舍:358
wa sheng	蛙声:336
wa shi	蛙式:250
wa si	瓦斯:508
wa si bao zha	瓦斯爆炸:530
wa tao	袜套:299
wa te	瓦特:460
wa tiao	蛙跳:325
wa tong	挖通:254
wa tu	挖土:409
wa wa	娃娃:612,哇哇:489,挖挖:472
wa wa lian	娃娃脸:382
wa wa yu	娃娃鱼:461
wa wu	瓦屋:486
wa xi li	瓦西里:370
wa xia	挖下:282
wa ya	哇呀:262
wa yan	挖眼:430
wa yao	瓦窑:551
wa ye	袜业:322
wa yong	蛙泳:416
wa zhe	挖着:418
wa zhuang	瓦状:399
wa zi	袜子:547,娃子:454
wa zou	挖走:382
wa zu	佤族:430
wai	外:805,歪:621,崴:467
wai ban	外办:392
wai bang	外邦:298
wai bao	外包:405
wai bao zhuang	外包装:460
wai bao zhuang he	外包装盒:501
wai bi	外币:514,外壁:325
wai bi dui huan	外币兑换:546
wai bi ye wu	外币业务:484
wai bian	外边:570
wai bian ju	外边距:485
wai biao	外表:610,外标:237
wai biao mian	外表面:525
wai biao shang	外表上:486
wai biao xia	外表下:548
wai bin	外宾:458
wai bo	歪脖:423
wai bu	外部:649,外埠:415
wai bu cheng xu	外部程序:492
wai bu cun chu	外部存储:495
wai bu diao yong	外部调用:508
wai bu huan jing	外部环境:374
wai bu jie kou	外部接口:485
wai bu lei	外部类:545
wai bu lian jie	外部链接:593
wai bu ming ling	外部命令:290
wai bu she bei	外部设备:326
wai bu shen ji	外部审计:488
wai bu shi jie	外部世界:552
wai bu xing	外部性:328
wai bu zhong duan	外部中断:483
wai cai	外财:284
wai ce	外侧:552,外测:407
wai ceng	外层:515
wai ceng kong jian	外层空间:298
wai cha	外差:310
wai chang	外场:400
wai chao	外朝:441
wai chen	外臣:412
wai cheng	外城:315
wai chu	外出:610
wai chu lv you	外出旅游:586
wai chu wu gong	外出务工:613
wai chuan	外穿:469,外传:407
wai cun	外村:336,外存:319
wai da zheng zhao	歪打正着:358
wai dai	外带:409
wai dai bei zi	外带杯子:484
wai dao	外道:404,歪道:268
wai dao dao er	歪道道儿:549
wai de	歪的:484
wai di	外地:631,外敌:439
wai di gong zuo	外地工作:488
wai di ke hu	外地客户:539
wai di lai	外地来:521
wai di qi ye	外地企业:505
wai di ren	外地人:488
wai di you ke	外地游客:532
wai dian	外电:480
wai diao	外调:396
wai duan	外端:268
wai er	外耳:348
wai er dao	外耳道:391
wai er men	外耳门:325
wai fan	外翻:325
wai fang	外方:432,外放:404,外访:260
wai feng	歪风:390
wai feng xie qi	歪风邪气:344
wai fu	外敷:424,外服:299
wai gai	外盖:449
wai gan	外感:456
wai gang	外港:267
wai gao qiao	外高桥:411
wai gong	外公:528,外功:390
wai gou	外购:418
wai gua	外挂:530
wai guan	外观:624,外关:280,外馆:249
wai guan ju	外管局:321
wai guan mo shi	外观模式:481
wai guan shang	外观上:595
wai guan she ji	外观设计:384
wai guan she ji zhuan li	外观设计专利:533
wai guo	外国:713,歪过:248
wai guo de	外国的:521
wai guo fa yuan	外国法院:506
wai guo gong min	外国公民:511
wai guo gong si	外国公司:617
wai guo ji	外国籍:317
wai guo ji zhe	外国记者:529
wai guo peng you	外国朋友:533
wai guo qi ye	外国企业:640
wai guo ren	外国人:600
wai guo tou zi	外国投资:322
wai guo tou zi zhe	外国投资者:639
wai guo wen xue	外国文学:333
wai guo xue sheng	外国学生:563
wai guo yin hang	外国银行:579
wai guo you ke	外国游客:325
wai guo you ren	外国友人:508
wai guo yu	外国语:534
wai guo yu xue xiao	外国语学校:606
wai guo yu yan	外国语言:527
wai guo zheng fu	外国政府:579
wai guo zhi jie tou zi	外国直接投资:522
wai guo zhuan jia	外国专家:345
wai guo zi ben	外国资本:526
wai hai	外海:444
wai han	外寒:395
wai hang	外行:470
wai hang ren	外行人:349
wai hao	外号:528
wai he	外核:402
wai hua	外化:364
wai huan	外环:408,外患:400
wai huan lu	外环路:287
wai huan xian	外环线:354
wai hui	外汇:625
wai hui chu bei	外汇储备:374
wai hui dai kuan	外汇贷款:492
wai hui feng xian	外汇风险:483
wai hui guan li	外汇管理:611
wai hui guan li ju	外汇管理局:330
wai hui guan zhi	外汇管制:305
wai hui jiao yi	外汇交易:333
wai hui ju	外汇局:374
wai hui li cai	外汇理财:533
wai hui mai mai	外汇买卖:535
wai hui pai jia	外汇牌价:308
wai hui shi chang	外汇市场:358
wai hui shou ru	外汇收入:321
wai hui ye wu	外汇业务:322
wai hui zhang hu	外汇账户:506
wai hui zhi ding yin hang	外汇指定银行:526
wai hui zi jin	外汇资金:328
wai huo	外货:270
wai huo er	外活儿:549
wai ji	外籍:540
wai ji ren shi	外籍人士:330
wai ji ren yuan	外籍人员:540
wai jia	外加:541,外嫁:354,外家:294
wai jian	外键:571,外间:456
wai jian wu	外间屋:549
wai jian yue shu	外键约束:493
wai jiang	外江:326
wai jiao	外交:664,外教:439,崴脚:419,外角:270
wai jiao bu	外交部:658
wai jiao bu de	外交部的:485
wai jiao bu fa yan ren	外交部发言人:561
wai jiao bu zhang	外交部长:515
wai jiao da chen	外交大臣:426
wai jiao guan	外交官:512
wai jiao guan xi	外交关系:322
wai jiao jia	外交家:405
wai jiao kou yu	外教口语:514
wai jiao ren yuan	外交人员:313
wai jiao tu jing	外交途径:298
wai jiao xue yuan	外交学院:378
wai jiao zheng ce	外交政策:342
wai jie	外接:655,外界:632,外借:350
wai jie dian yuan	外接电源:552
wai jing	外景:460,外径:408,外经:326,外境:302
wai jing di	外景地:362
wai jing mao	外经贸:530
wai jing mao bu	外经贸部:466
wai jing mao ju	外经贸局:332
wai jing mao ting	外经贸厅:298
wai jing mao wei	外经贸委:303
wai jing pai she	外景拍摄:489
wai jing wai mao	外经外贸:312
wai jun	外军:408
wai ka	外卡:326
wai kan	外刊:363
wai kang	外抗:240
wai ke	外科:585,外壳:557
wai ke de	外壳的:550,外科的:529
wai ke shou shu	外科手术:346
wai ke xue	外科学:420
wai ke yi sheng	外科医生:329
wai ke zhu ren	外科主任:295
wai kou	外寇:298
wai kuai	外快:381
wai kuang	外框:538
wai kuo	外扩:484
wai lai	外来:607
wai lai gong	外来工:372
wai lai min gong	外来民工:482
wai lai ren	外来人:354
wai lai ren kou	外来人口:408
wai lai ren yuan	外来人员:342
wai lai wen hua	外来文化:324
wai lai wu gong	外来务工:588
wai lai wu zhong ru qin	外来物种入侵:549
wai lai zhe	外来者:358
wai lai zi jin	外来资金:481
wai le	歪了:565,崴了:546
wai le jiao	崴了脚:502
wai li	外力:524,歪理:376
wai li mian	外立面:328
wai li zuo yong	外力作用:293
wai lian	外链:467,外联:379
wai lian bu	外联部:328
wai lian jie	外连接:499
wai liu	外流:492
wai lou	外露:432,歪楼:412,外漏:290
wai lu	外露:432,外路:340,歪路:300
wai lun	外轮:418
wai mai	外卖:408
wai mai bao zhuang	外卖包装:484
wai mai he	外卖盒:484
wai mai tong	外卖桶:484
wai mao	外贸:648,外貌:544
wai mao bu	外贸部:304
wai mao chu kou	外贸出口:359
wai mao fu shi	外贸服饰:320
wai mao fu zhuang	外贸服装:362
wai mao gong si	外贸公司:358
wai mao lun tan	外贸论坛:485
wai mao qi ye	外贸企业:349
wai mao shun cha	外贸顺差:308
wai mao ye wu	外贸业务:539
wai mao yi jing ying zhe	外贸易经营者:512
wai mao ying yu	外贸英语:316
wai mao zeng zhang	外贸增长:511
wai mei	外媒:549
wai men	外门:296
wai men xie dao	歪门邪道:348
wai meng	外蒙:342
wai meng gu	外蒙古:494
wai mian	外面:693
wai mian de shi jie	外面的世界:594
wai mian er guang	外面儿光:325
wai mo	外膜:294
wai pai	外拍:544,外派:408,外排:364
wai pan	外盘:372
wai pen	外喷:401
wai pi	外皮:518,歪批:399
wai pian	外篇:323
wai pin	外频:354,外聘:336
wai ping	外屏:616
wai po	外婆:535
wai po jia	外婆家:312
wai qi	外企:566,外戚:458
wai qian	外迁:392,外欠:239
wai qiang	外墙:522,外强:274
wai qiang qing xi	外墙清洗:497
wai qiang tu liao	外墙涂料:308
wai qiang wai bao wen	外墙外保温:517
wai qiao	外侨:431
wai qie	外切:274
wai qin	外勤:344,外侵:262,外亲:246
wai qing	外倾:280
wai qu	歪曲:495,外区:282
wai qu shi shi	歪曲事实:352
wai quan	外圈:392
wai ren	外人:576,外任:433
wai rou	外柔:236
wai shang	外伤:505,外商:461
wai shang du zi	外商独资:348
wai shang du zi qi ye	外商独资企业:571
wai shang tou zi	外商投资:401
wai shang tou zi chan ye zhi dao mu lu	外商投资产业指导目录:510
wai shang tou zi qi ye	外商投资企业:715
wai shang tou zi xiang mu	外商投资项目:577
wai shang xing	外伤性:364
wai shang zhi jie tou zi	外商直接投资:575
wai she	外设:474
wai shen	外伸:441,外渗:282
wai sheng	外甥:493,外省:442
wai sheng nv	外甥女:414
wai sheng shi	外省市:341
wai sheng zhi qi	外生殖器:320
wai shi	外事:566,外饰:523,外室:398,外史:374,歪诗:300,外市:294
wai shi ban	外事办:326
wai shi chu	外事处:290
wai shi huo dong	外事活动:296
wai shou	外售:260
wai shu xing xiang	外树形象:511
wai shui	外水:302
wai song	外送:534
wai su	外宿:256
wai sun	外孙:456
wai sun nv	外孙女:404
wai tai	外胎:354
wai tai kong	外太空:312
wai tan	外滩:492
wai tao	外套:530,外逃:444
wai tou	外头:528,歪头:371
wai tu	外涂:303,外突:266
wai tui	外推:503
wai tuo	外拓:484
wai wai	歪歪:334
wai wai niu niu	歪歪扭扭:388
wai wai xie xie	歪歪斜斜:414
wai wang	外网:350
wai wei	外围:580,外委:287
wai wei she bei	外围设备:325
wai wen	外文:566
wai wen ju	外文局:478
wai wu	外侮:383,外务:366,外屋:336,外物:321
wai wu sheng	外务省:383
wai xi	外系:436
wai xian	外线:472,外县:376,外显:310
wai xiang	外箱:562,外向:474,外相:428,外乡:358
wai xiang du	外向度:478
wai xiang ren	外乡人:400
wai xiang xing	外向型:522
wai xiang xing jing ji	外向型经济:555
wai xiao	外销:507,外校:484
wai xiao yuan	外销员:320
wai xie	外泄:434,歪斜:430,外邪:392
wai xin	外心:284
wai xing	外形:606,外型:485,外星:429,外姓:339
wai xing chi cun	外形尺寸:382
wai xing guai wu	外星怪物:484
wai xing ren	外姓人:549,外星人:486
wai xing shang	外形上:501
wai xu	外需:512
wai xuan	外旋:471,外宣:389
wai xue	外学:274
wai xun	外训:435
wai yan	外延:500,外研:458,外沿:293,歪眼:244
wai yan she	外研社:296
wai yang	外扬:308,外洋:276
wai ye	外业:310
wai yi	外衣:536,外溢:380,外移:352
wai yi ceng	外逸层:549
wai yin	外引:489,外阴:486,外因:460
wai yin bu	外阴部:315
wai yong	外用:510
wai yong yao	外用药:320
wai you	外有:588,外游:497
wai yu	外语:640,外遇:458
wai yu fan yi	外语翻译:295
wai yu jiao xue	外语教学:356
wai yu jiao yu	外语教育:554
wai yu kao shi	外语考试:322
wai yu neng li	外语能力:523
wai yu pei xun	外语培训:562
wai yu pian	外语片:371
wai yu shui ping	外语水平:367
wai yu xi	外语系:442
wai yu xue xi	外语学习:564
wai yu xue xiao	外语学校:313
wai yu xue yuan	外语学院:332
wai yuan	外援:535,外圆:528,外缘:437,外院:365
wai yuan xing	外源性:373
wai yun	外运:455
wai zai	外在:689
wai zhai	外债:519,外宅:380
wai zhan	外展:539
wai zhang	外长:566,外账:310
wai zhang hui yi	外长会议:479
wai zhao	外找:448,外招:446,外罩:401
wai zhe	歪着:534
wai zhe tou	歪着头:313
wai zheng	外证:372
wai zhi	外治:506,外置:410,外痔:306
wai zhi shi	外置式:296
wai zhu	外驻:417
wai zhuan	外传:407
wai zhuan ju	外专局:288
wai zi	外资:660,崴子:372,外子:254
wai zi bao xian	外资保险:291
wai zi bao xian gong si	外资保险公司:543
wai zi bing gou	外资并购:571
wai zi e	外资额:496
wai zi gong si	外资公司:569
wai zi gu	外资股:418
wai zi ji gou	外资机构:497
wai zi pin pai	外资品牌:532
wai zi qi ye	外资企业:404
wai zi yin hang	外资银行:378
wai zu	外族:432,外祖:275
wai zu fu	外祖父:440
wai zu fu mu	外祖父母:305
wai zu mu	外祖母:458
wai zui	歪嘴:282
wan	完:788,万:771,晚:755,玩:738,弯:649,碗:642,湾:638,婉:622,挽:614,腕:606,宛:605,顽:591,丸:584,卍:540,惋:525,莞:501,蜿:497,琬:481,纨:480,婠:469,皖:467,绾:464,剜:440,菀:421,豌:400,畹:387,烷:364,脘:293,芄:259,塆:141,椀:137,𬇕:76
wan a	玩啊:418
wan ai ke	万艾可:318
wan an	晚安:418
wan an o	晚安哦:549
wan ba	玩吧:393
wan bai	完败:306
wan ban	万般:442,晚班:403,玩伴:336
wan ban shang er	晚半晌儿:549
wan ban tian er	晚半天儿:325
wan ban wu nai	万般无奈:426
wan bang	万邦:374
wan bao	晚报:550,完爆:549
wan bao long	万宝龙:511
wan bao lu	万宝路:382
wan bao xun	晚报讯:505
wan bei	玩呗:532,完备:490,晚辈:486,万倍:362,皖北:355
wan bei de	完备的:664
wan bei xing	完备性:478
wan bi	完毕:636,完璧:272
wan bi hou	完毕后:674
wan bian	碗边:430,玩遍:280,万变:270
wan biao	腕表:363
wan bu	玩不:548,万部:446,腕部:362,万步:260
wan bu cheng	玩不成:677,完不成:567
wan bu de yi	万不得已:426
wan bu qi	玩不起:482
wan can	晚餐:562
wan can hou	晚餐后:600
wan cha	晚茶:421
wan chan	晚产:484
wan chang	晚场:282
wan che	玩车:585
wan cheng	完成:746,玩成:514,晚成:425,弯成:299
wan cheng du	完成度:294
wan cheng gong zuo	完成工作:597
wan cheng hao	完成好:563
wan cheng hou	完成后:724
wan cheng ji hua	完成计划:526
wan cheng jiao yi	完成交易:547
wan cheng le	完成了:773
wan cheng lv	完成率:460
wan cheng mu biao	完成目标:523
wan cheng nian du	完成年度:540
wan cheng qing kuang	完成情况:643
wan cheng ren wu	完成任务:665
wan cheng ri qi	完成日期:510
wan cheng shi	完成时:559
wan cheng shi jian	完成时间:573
wan cheng tou zi	完成投资:619
wan cheng xue ye	完成学业:346
wan cheng yi hou	完成以后:542
wan cheng yi shang	完成以上:483
wan cheng zhe	完成者:494
wan cheng zhe ge	完成这个:559
wan cheng zhuang tai	完成状态:498
wan cheng zuo ye	完成作业:549
wan chong	万重:342
wan chu	玩出:322,碗橱:302
wan chun	晚春:314
wan ci	万次:469,挽词:287,婉辞:265
wan da	万达:472
wan da shan	完达山:351
wan dai	万代:383,腕带:310
wan dan	完蛋:474,玩蛋:412
wan dan le	完蛋了:571
wan dao	晚到:522,弯道:442,弯刀:442,万道:395,晚稻:372,玩到:346,弯到:254,晚祷:250
wan de	玩的:708,玩得:652,晚的:579,弯的:563
wan de kai xin	玩得开心:559
wan de shi	玩的是:510
wan di	碗底:292,顽敌:272
wan dian	玩点:514,晚点:436,万点:300
wan dian er	晚点儿:584,玩点儿:514
wan dian nao	玩电脑:327
wan diao	剜掉:661
wan die	碗碟:406
wan ding	畹町:356
wan dong	皖东:362
wan dou	豌豆:554
wan du	弯度:300
wan duan	万端:351
wan dun	万吨:702
wan dun ji	万吨级:508
wan duo	万多:582
wan duo yuan	万多元:466
wan e	万恶:424
wan er	婉儿:558,玩儿:504,莞尔:373,弯儿:364,万儿:290,碗儿:285,腕儿:260
wan er de	玩儿的:508
wan er ge	玩儿个:549
wan er geng	玩儿梗:525
wan er lan	玩儿烂:549
wan er lan le	玩儿烂了:549
wan er le ge	玩儿了个:549
wan er ma	玩儿吗:527,玩儿嘛:484
wan er ni	玩儿腻:480
wan er shou ji	玩儿手机:549
wan er wo	玩儿我:549
wan er yi xiao	莞尔一笑:384
wan er zhuan	玩儿转:599
wan fa	玩法:495,晚发:466
wan fan	晚饭:580,碗饭:327
wan fan hou	晚饭后:587
wan fang	万方:496
wan fang shu ju	万方数据:316
wan fei	玩废:418
wan fen	万分:582,万份:490
wan fen gan ji	万分感激:300
wan fen gan xie	万分感谢:549
wan fen zhi	万分之:399
wan fen zhi yi	万分之一:422
wan feng	晚风:428,玩疯:418
wan fu	万福:447,万夫:290
wan fu mo kai	万夫莫开:323
wan gao	完稿:379
wan ge	玩个:549,万个:478,挽歌:387
wan geng	玩梗:525
wan gong	完工:574,弯弓:420
wan gong hou	完工后:336
wan gou	玩够:549,弯钩:418
wan gu	顽固:542,万古:444,万股:439,腕骨:322
wan gu bu hua	顽固不化:368
wan gu de	顽固的:484
wan gu pai	顽固派:448
wan gu xing	顽固性:382
wan guan	万贯:396,弯管:329,玩惯:240
wan guan jie	腕关节:306
wan gui	晚归:358,碗柜:270
wan guo	玩过:644,万国:498
wan guo ma	玩过吗:484
wan hang	万行:362
wan hao	完好:578
wan hao de	完好的:606
wan hao lv	完好率:306
wan hao wan jia	万好万家:562
wan hao wu que	完好无缺:334
wan hao wu sun	完好无损:440
wan he	万壑:483
wan hou	完后:674
wan hu	万户:546,玩忽:325
wan hu zhi shou	玩忽职守:472
wan hu zhi shou zui	玩忽职守罪:517
wan hua	万花:268
wan hua tong	万花筒:380
wan huai	玩坏:325
wan hui	挽回:544,晚会:533,玩会:422
wan hui jing ji sun shi	挽回经济损失:531
wan hui shang	晚会上:573
wan hui sun shi	挽回损失:296
wan hun	完婚:476,晚婚:402
wan hun wan yu	晚婚晚育:298
wan huo	玩火:367
wan ji	烷基:452,顽疾:396,丸剂:387,绾髻:384,玩机:336
wan jia	玩家:595,万家:589,万佳:330
wan jia deng huo	万家灯火:411
wan jia le	万家乐:346
wan jia men	玩家们:622
wan jian	晚间:534
wan jian xin wen	晚间新闻:296
wan jiang	万江:312
wan jiao	弯角:340
wan jie	完结:487,卍解:412,绾结:384,万劫:381,晚节:332
wan jie bu fu	万劫不复:412
wan jie pian	完结篇:302
wan jie shi ye	万杰实业:562
wan jin	万斤:496,万金:436
wan jin you	万金油:356
wan jing	晚景:363
wan jiu	挽救:582
wan ju	玩具:628,婉拒:394,弯矩:332
wan ju chan pin	玩具产品:505
wan ju chang	玩具厂:336
wan ju che	玩具车:294
wan ju cheng	玩具城:492
wan ju dian	玩具店:316
wan ju le	婉拒了:481
wan ju li pin	玩具礼品:519
wan ju qiang	玩具枪:290
wan ju shi chang	玩具市场:495
wan juan	万卷:412
wan jun	万钧:468,万军:360,顽军:262
wan kang	顽抗:406
wan ke	万科:361,万颗:360,晚课:334,万棵:283
wan kou	碗口:420
wan ku	纨绔:378
wan kuai	万块:476,碗筷:472
wan lai	万籁:324,晚来:320
wan lai ju ji	万籁俱寂:395
wan lan	玩烂:549
wan lan le	玩烂了:549
wan lan qiu	玩篮球:484
wan le	完了:546,玩了:530,晚了:528,弯了:405,玩乐:372
wan le ba	完了吧:549
wan le ge	玩了个:549
wan lei	万类:298
wan li	碗里:613,万里:590,万历:580,湾里:356,腕力:338,万利:282
wan li chang cheng	万里长城:468
wan li chang jiang	万里长江:491
wan li chang zheng	万里长征:360
wan li da	万利达:324
wan li dian chi	万里电池:357
wan li fu	晚礼服:394
wan li wu yun	万里无云:381
wan li xing	万里行:342
wan lian	挽联:452,碗莲:397
wan liang	万辆:606,万两:468
wan lie	顽劣:384
wan liu	挽留:509
wan long	万隆:404
wan lou	完喽:484
wan lu	弯路:472
wan luan	完卵:254
wan ma	玩吗:527,玩嘛:484
wan ma ben teng	万马奔腾:367
wan man	完满:418
wan man de	完满的:501
wan me	玩么:549
wan mei	完美:658,弯眉:414
wan mei ban	完美版:318
wan mei de	完美的:738,完美地:594
wan mei ren sheng	完美人生:501
wan mei shi jie	完美世界:590
wan mei wu que	完美无缺:427
wan mei wu xia	完美无瑕:288
wan mei xie zai	完美卸载:509
wan mei yuan	万美元:666
wan mei zhu yi	完美主义:366
wan mei zu he	完美组合:516
wan mi	万米:474
wan mian	碗面:328
wan min	万民:494
wan ming	玩命:452,万名:426
wan mu	万亩:668,晚暮:260
wan nan	皖南:465,万难:417
wan nao	玩闹:373
wan ne	玩呢:418
wan neng	万能:532
wan neng jiao	万能胶:299
wan neng wu bi	万能五笔:300
wan neng xian	万能险:481
wan neng yao shi	万能钥匙:294
wan ni	玩你:459,玩腻:290
wan ni le	玩腻了:480
wan nian	万年:590,晚年:583
wan nian ju hui	万念俱灰:418
wan nian li	万年历:376
wan nian qian	万年前:408
wan nian qing	万年青:380
wan nian sheng huo	晚年生活:304
wan nian si	万年寺:492
wan nian xian	万年县:304
wan niang	晚娘:260
wan ning	万宁:390
wan ning shi	万宁市:306
wan nong	玩弄:510
wan ou	玩偶:451
wan pai	玩牌:340
wan pan	碗盘:278
wan pen	碗盆:258
wan pi	顽皮:504
wan pi de	顽皮的:566
wan piao	玩票:283
wan ping	宛平:505
wan qi	晚期:602,绾起:467,玩起:336,晚起:334,挽起:324,弯起:264
wan qi lai	玩起来:310
wan qian	万千:508
wan qian chong ai	万千宠爱:480
wan qiang	顽强:569,玩枪:253
wan qiang de	顽强的:621
wan qiang di kang	顽强抵抗:294
wan qiang pin bo	顽强拼搏:338
wan qing	晚清:508,万顷:416,晚晴:290
wan qiu	晚秋:398,玩球:291
wan qu	弯曲:612,玩去:459,湾区:280
wan qu du	弯曲度:483
wan quan	完全:744,万全:430,婉劝:412
wan quan ban	完全版:334
wan quan bi mian	完全避免:304
wan quan bu	完全不:690
wan quan bu shi	完全不是:536
wan quan bu tong	完全不同:631
wan quan de	完全的:484
wan quan dui	完全对:506
wan quan er cha shu	完全二叉树:513
wan quan fang qi	完全放弃:486
wan quan fu he	完全符合:366
wan quan gai bian	完全改变:498
wan quan he	万泉河:386
wan quan hui fu	完全恢复:415
wan quan ji yu	完全基于:516
wan quan jing zheng	完全竞争:496
wan quan ke neng	完全可能:521
wan quan ke yi	完全可以:722
wan quan liao jie	完全了解:519
wan quan lv xing	完全履行:480
wan quan man zu	完全满足:585
wan quan mei you	完全没有:673
wan quan mian fei	完全免费:376
wan quan min shi xing wei neng li	完全民事行为能力:580
wan quan ming bai	完全明白:483
wan quan neng	完全能:551
wan quan sang shi	完全丧失:576
wan quan shi	完全是:712
wan quan ting zhi	完全停止:485
wan quan tong yi	完全同意:330
wan quan xiang tong	完全相同:370
wan quan xiang xin	完全相信:512
wan quan xing	完全性:386
wan quan yi	完全以:543
wan quan yi kao	完全依靠:542
wan quan yi lai	完全依赖:536
wan quan yi yang	完全一样:630
wan quan yi zhi	完全一致:353
wan quan you	完全有:620
wan quan ze ren	完全责任:496
wan quan zhang wo	完全掌握:539
wan quan zheng que	完全正确:315
wan quan zhong xue	完全中学:485
wan ran	宛然:431
wan ren	万人:782,完人:525,万仞:491
wan ren kong xiang	万人空巷:339
wan ren mi	万人迷:384
wan rong	婉容:465,万荣:336
wan ru	宛如:588
wan ruo	宛若:456
wan sha	玩啥:549,完杀:412
wan shan	完善:720,晚膳:465,万山:453,纨扇:283
wan shan gong zuo	完善工作:557
wan shan ji zhi	完善机制:523
wan shan ti zhi	完善体制:511
wan shan zhi du	完善制度:570
wan shan zi wo	完善自我:532
wan shang	晚上:708,玩上:549,腕上:444,挽上:418,腕伤:397,玩赏:310
wan shang hao	晚上好:548
wan shang hui lai	晚上回来:492
wan shang qu	晚上去:547
wan shang shui jiao	晚上睡觉:544
wan shao	碗勺:549
wan shen	万神:464,弯身:284
wan shen me	玩什么:547
wan sheng	晚生:442,完胜:394,万圣:296
wan sheng jie	万圣节:367
wan sheng qu	万盛区:296
wan shi	万事:500,万世:500,完事:452,晚市:413,挽诗:266
wan shi bu gong	玩世不恭:422
wan shi da	万事达:318
wan shi da ji	万事大吉:419
wan shi da ka	万事达卡:328
wan shi ju bei	万事俱备:375
wan shi kai tou nan	万事开头难:352
wan shi le	完事了:500
wan shi ru yi	万事如意:428
wan shi tong	万事通:330
wan shi wan wu	万事万物:326
wan shou	万寿:422,晚熟:332,挽手:268
wan shou ji	玩手机:549
wan shou ju	万寿菊:292
wan shou lu	万寿路:342
wan shou qiu	玩手球:484
wan shou shan	万寿山:335
wan shu	万树:484,晚熟:392
wan shua	玩耍:534
wan shuang	晚霜:344,万双:320
wan shui	完税:361,晚睡:316,玩水:310
wan shui jia ge	完税价格:328
wan shui ping zheng	完税凭证:534
wan shui qian shan	万水千山:378
wan shui qiu	玩水球:484
wan shui zheng ming	完税证明:540
wan shun	万顺:296
wan si	万死:462,宛似:340,玩死:290
wan song	万松:522
wan su	纨素:374
wan sui	万岁:618
wan sui ye	万岁爷:481
wan suo	玩索:374
wan tai	万台:550
wan tang	晚唐:434
wan tao	万套:463
wan tiao	万条:440
wan ting	烷烃:408
wan tong	顽童:506,万桶:430
wan tong xian feng	万通先锋:562
wan tou	弯头:350,湾头:312
wan tui	弯腿:375
wan tuo	玩脱:514,腕托:431
wan wan	万万:548,玩玩:518,湾湾:459,婉婉:435,弯弯:428,玩完:360
wan wan bu	万万不:500
wan wan bu ke	万万不可:312
wan wan bu neng	万万不能:322
wan wan de	弯弯的:418
wan wan mei	万万没:531
wan wan mei you xiang dao	万万没有想到:543
wan wan qiang	碗碗腔:314
wan wan qu qu	弯弯曲曲:447
wan wan quan quan	完完全全:422
wan wan sui	万万岁:413
wan wan zheng zheng	完完整整:318
wan wang	万望:470,万网:388
wan wang zhi wang	万王之王:481
wan wei	玩味:434,万维:332,万位:302
wan wei wang	万维网:410
wan wo	玩我:549
wan wu	万物:600,万勿:485,万无:463,玩物:439
wan wu fu su	万物复苏:493
wan wu sang zhi	玩物丧志:370
wan wu yi shi	万无一失:498
wan wu zhi ling	万物之灵:352
wan xi	惋惜:514
wan xi de	惋惜的:502
wan xia	晚霞:482,剜下:377,弯下:343
wan xiang	万向:516,万象:479,万箱:327
wan xiang geng xin	万象更新:380
